Open time,Open,High,Low,Close,Volume,Close time
1567958400000,10000,10357.53,10000,10340.12,471.661,1567972799999
1567972800000,10340.12,10412.65,10324.77,10391.63,2624.630,1567987199999
1567987200000,10316.62,10316.68,10267.37,10297.89,779.449,1568001599999
1568001600000,10297.89,10316.34,10092.71,10149.47,2664.789,1568015999999
1568016000000,10149.47,10475.54,10077.22,10414.60,2466.485,1568030399999
1568030400000,10411.70,10411.70,10302.69,10314.26,3386.015,1568044799999
1568044800000,10314.26,10333.55,10183.31,10308.87,3915.329,1568059199999
1568059200000,10307.80,10420.65,10228.28,10307,1612.306,1568073599999
1568073600000,10307,10382.97,10266.61,10307.25,1547.455,1568087999999
1568088000000,10309.17,10329.24,10226.81,10272.46,1706.083,1568102399999
1568102400000,10271.93,10290.01,10206.87,10254.56,1409.001,1568116799999
1568116800000,10252.70,10270.58,10167.91,10179.10,1529.810,1568131199999
1568131200000,10172.13,10237.41,9940.87,10026.56,1413.946,1568145599999
1568145600000,10021.49,10127.22,9991.73,10102.02,1462.660,1568159999999
1568160000000,10094.27,10293.11,10051,10093.88,1377.981,1568174399999
1568174400000,10091.53,10097.65,9884.31,10067.46,1416.504,1568188799999
1568188800000,10068.41,10138.01,9988.69,10070.53,1031.664,1568203199999
1568203200000,10062.34,10101.38,9973.15,9991.84,1826.186,1568217599999
1568217600000,9992.18,10123.29,9934.11,10077.60,2623.529,1568231999999
1568232000000,10073.64,10184.66,10064.11,10159.55,2622.058,1568246399999
1568246400000,10163.06,10205.46,10085.88,10113.43,2704.325,1568260799999
1568260800000,10116.97,10129.19,10042.12,10078.96,2502.598,1568275199999
1568275200000,10079.76,10187.90,10076.95,10170.93,2531.512,1568289599999
1568289600000,10170,10365.15,10170,10326.58,2529,1568303999999
1568304000000,10327.25,10349.91,10239.42,10308.80,2724.169,1568318399999
1568318400000,10301.82,10450.13,10300.85,10415.13,2618.030,1568332799999
1568332800000,10414.96,10440.55,10329.30,10364.64,2483.692,1568347199999
1568347200000,10364.82,10399.81,10267.89,10284.03,3589.585,1568361599999
1568361600000,10283.68,10327.14,10251.99,10306.52,3343.982,1568375999999
1568376000000,10306.52,10344,10270,10296.57,3556.490,1568390399999
1568390400000,10294.81,10310.08,10186.34,10210.25,3278.396,1568404799999
1568404800000,10210.25,10355.85,10153.51,10341.34,3000.576,1568419199999
1568419200000,10343.01,10353.72,10267.08,10280.77,3297.903,1568433599999
1568433600000,10280.58,10330.61,10259.75,10316.67,2973.282,1568447999999
1568448000000,10319.07,10348,10287.53,10291.93,3337.285,1568462399999
1568462400000,10292.13,10396.40,10222.77,10358,4138.968,1568476799999
1568476800000,10355.61,10398,10325.41,10363.80,3532.679,1568491199999
1568491200000,10363.63,10419.97,10317.39,10332.25,3376.507,1568505599999
1568505600000,10333.47,10359.20,10024.81,10303.39,3539.363,1568519999999
1568520000000,10302.49,10326.59,10273.21,10308.96,3019.367,1568534399999
1568534400000,10308.08,10320,10268.55,10296.63,3250.042,1568548799999
1568548800000,10296.54,10317.29,10252.28,10306.37,3755.871,1568563199999
1568563200000,10306.79,10332.61,10280.14,10294.68,3603.548,1568577599999
1568577600000,10294.46,10316.45,10265.32,10302.22,3368.064,1568591999999
1568592000000,10302,10353.81,10300,10300.07,3490.788,1568606399999
1568606400000,10300.24,10325,10279.69,10302.30,3131.662,1568620799999
1568620800000,10301.95,10316.71,10275.74,10282.74,3112.623,1568635199999
1568635200000,10282.03,10282.03,10115,10120.07,3548.878,1568649599999
1568649600000,10117.40,10160.39,10080.70,10124.17,3419.057,1568663999999
1568664000000,10120.37,10329.38,10119.29,10249.27,3482.629,1568678399999
1568678400000,10257.30,10261.36,10175.20,10224.09,3556.014,1568692799999
1568692800000,10225.02,10230.79,10165,10201.89,3853.531,1568707199999
1568707200000,10202.92,10205.81,10136.77,10163,3791.041,1568721599999
1568721600000,10162.70,10244.27,10151.62,10201.14,3859.972,1568735999999
1568736000000,10201.09,10262.49,10200.39,10255.91,3683.462,1568750399999
1568750400000,10256.52,10270.63,10171.37,10186.52,3775.587,1568764799999
1568764800000,10183.87,10256.65,10183.87,10206.05,3573.478,1568779199999
1568779200000,10206.02,10228.41,10185.60,10198.54,3431.504,1568793599999
1568793600000,10199.39,10199.47,10150,10156.12,3257.517,1568807999999
1568808000000,10156.70,10210,10097.92,10172.91,4003.080,1568822399999
1568822400000,10172.84,10212.25,10132.51,10171.17,3340.706,1568836799999
1568836800000,10172.65,10211.90,10143,10155.16,3226.610,1568851199999
1568851200000,10154.70,10185.55,9530.02,9821.97,4653.142,1568865599999
1568865600000,9820.96,9916,9780.75,9872.38,3896.305,1568879999999
1568880000000,9872.71,9895.37,9820,9856.50,3859.260,1568894399999
1568894400000,9856.50,9893.57,9845.11,9880.36,3577.789,1568908799999
1568908800000,9882,10109.51,9875.25,10086.98,4871.372,1568923199999
1568923200000,10088.91,10331.62,10088.91,10245.30,5370.886,1568937599999
1568937600000,10247.70,10279.30,10154.70,10214.76,4230.857,1568951999999
1568952000000,10212.78,10222.92,10148.99,10156.45,3706.694,1568966399999
1568966400000,10156.11,10187.10,10121.30,10173.72,3454.159,1568980799999
1568980800000,10172.45,10236.19,10141.31,10180.66,4066.386,1568995199999
1568995200000,10179.55,10189.13,10070.50,10161.60,3987.006,1569009599999
1569009600000,10161.40,10185.34,10070.67,10166.35,3820.808,1569023999999
1569024000000,10166.56,10175.30,10116.80,10124.75,3662.893,1569038399999
1569038400000,10124.35,10126.81,9963.02,10079.89,4673.538,1569052799999
1569052800000,10081.07,10081.07,9983.25,10046.60,3967.174,1569067199999
1569067200000,10046.60,10067,9912.63,10037.11,3990.876,1569081599999
1569081600000,10037.05,10056,9959.97,10016.80,3519.366,1569095999999
1569096000000,10016.78,10023.56,9943.05,9983.33,3828.540,1569110399999
1569110400000,9992.70,10001.98,9862.81,9872.07,4561.077,1569124799999
1569124800000,9872,10053.56,9857,10023.53,3791.352,1569139199999
1569139200000,10024.91,10089.52,9978.96,10001.83,3755.569,1569153599999
1569153600000,10000.53,10057.43,9932.01,9989.89,3816.779,1569167999999
1569168000000,9990,10025,9949.20,9987.48,4011.848,1569182399999
1569182400000,9987.61,10073.46,9982.60,10023.04,3979.729,1569196799999
1569196800000,10027.69,10046.91,9950,9975.58,4722.711,1569211199999
1569211200000,9978.57,9983.81,9878.51,9904,3827.303,1569225599999
1569225600000,9904,9968.49,9904,9915.09,3484.654,1569239999999
1569240000000,9914.11,9951.05,9708.91,9867.06,7566.861,1569254399999
1569254400000,9867.54,9883.89,9779,9805.10,4499.082,1569268799999
1569268800000,9804.39,9836.28,9620,9701.96,7826.451,1569283199999
1569283200000,9701.10,9792.83,9603.50,9718.71,4279.612,1569297599999
1569297600000,9718.63,9791.07,9689,9755.67,2594.573,1569311999999
1569312000000,9754.05,9768,9680.27,9726.09,3996.677,1569326399999
1569326400000,9725.67,9729.07,9408.47,9530,15301.878,1569340799999
1569340800000,8683.20,8689.49,8645.61,8645.61,10.814,1569355199999
1569355200000,8358.01,8755.44,8137.09,8495.83,23548.671,1569369599999
1569369600000,8493.32,8725.24,8492.65,8565.61,8267.585,1569383999999
1569384000000,8565.52,8589.25,8200,8322.35,7839.039,1569398399999
1569398400000,8325.28,8546.73,8215,8327.38,7480.944,1569412799999
1569412800000,8324.27,8460,8242.61,8293.28,9081.314,1569427199999
1569427200000,8295.79,8408.31,8223.71,8346.96,6397.273,1569441599999
1569441600000,8346.96,8628.44,8332.41,8430.07,9155.947,1569455999999
1569456000000,8428.15,8443.55,8316.61,8361.80,4251.146,1569470399999
1569470400000,8361.82,8431,8335.72,8379,3154.622,1569484799999
1569484800000,8378.75,8464.40,8367.89,8387.08,3514.373,1569499199999
1569499200000,8387,8438.88,7825.89,7921.82,21856.290,1569513599999
1569513600000,7924.55,8160.50,7700.67,8131.12,22026.303,1569527999999
1569528000000,8131.23,8157,8010,8060.15,5263.211,1569542399999
1569542400000,8061.98,8093.21,7940.37,8019.99,4893.075,1569556799999
1569556800000,8019.15,8081.49,7951.77,8060.01,3443.524,1569571199999
1569571200000,8060,8128.78,7951.37,7988.08,6616.751,1569585599999
1569585600000,7984.71,8097,7851.94,7977.10,11382.027,1569599999999
1569600000000,7976.30,8060.01,7934.73,7990.70,6032.962,1569614399999
1569614400000,7990.01,8260,7980,8176.52,7666.314,1569628799999
1569628800000,8178.26,8211.21,8120.02,8164.01,3244.046,1569643199999
1569643200000,8164.51,8222.11,8141.18,8211.76,2915.339,1569657599999
1569657600000,8212.47,8243.54,8124.03,8133.23,3799.958,1569671999999
1569672000000,8132.68,8135.70,8001.14,8064.07,7324.607,1569686399999
1569686400000,8067.10,8179,8038.28,8146.66,4763.487,1569700799999
1569700800000,8145.70,8311,8057.35,8195.38,11773.482,1569715199999
1569715200000,8199,8226.35,8121.96,8130.22,4124.529,1569729599999
1569729600000,8130.16,8141.26,8040.11,8083.08,4554.654,1569743999999
1569744000000,8086.33,8116.99,8031.34,8073.12,4084.898,1569758399999
1569758400000,8072.89,8078.05,7888.98,7965.70,8625.319,1569772799999
1569772800000,7965.70,8032.73,7920.01,7956.40,6285.116,1569787199999
1569787200000,7951.59,8127.06,7918.75,8041.96,8291.540,1569801599999
1569801600000,8042.08,8054.82,7953.58,7972.07,6088.484,1569815999999
1569816000000,7972.03,7974.75,7709.01,7792.82,13568.502,1569830399999
1569830400000,7793.19,8094.48,7775.01,8034.78,12089.775,1569844799999
1569844800000,8033.48,8300.66,7982.08,8280,14038.751,1569859199999
1569859200000,8277.05,8331.89,8186,8269.65,4567.829,1569873599999
1569873600000,8268.61,8288.86,8162,8285.84,4059.179,1569887999999
1569888000000,8285.31,8499,8171,8392.36,7442.336,1569902399999
1569902400000,8392.39,8466.75,8341,8405.03,3662.252,1569916799999
1569916800000,8400.79,8409,8285,8353,5275.655,1569931199999
1569931200000,8350.14,8424.72,8270,8361.09,7066.940,1569945599999
1569945600000,8361.18,8494.49,8225.03,8295.66,10918.966,1569959999999
1569960000000,8300,8396.56,8263.01,8290,4846.655,1569974399999
1569974400000,8290,8325.40,8201,8239,4674.892,1569988799999
1569988800000,8241.34,8262.25,8149.35,8194.52,5230.510,1570003199999
1570003200000,8194.76,8274.50,8194.76,8255.57,3348.702,1570017599999
1570017600000,8256.32,8280,8185.28,8230.40,5439.207,1570031999999
1570032000000,8230.41,8264.36,8177.29,8250.79,6361.526,1570046399999
1570046400000,8250.79,8365.92,8209.18,8352.14,5274.342,1570060799999
1570060800000,8353.40,8386,8302.86,8323.92,3741.139,1570075199999
1570075200000,8324.55,8363.36,8237.37,8258.14,4023.595,1570089599999
1570089600000,8258.90,8288.88,8184.91,8215.26,5001.386,1570103999999
1570104000000,8215.49,8243,8020,8104.71,8390.436,1570118399999
1570118400000,8104.41,8206.25,8086,8141.03,5529.021,1570132799999
1570132800000,8142.77,8274.59,8111.49,8220.27,6744.653,1570147199999
1570147200000,8219.95,8227.42,8050,8101.77,8195.016,1570161599999
1570161600000,8100.25,8140,7979.95,8126.61,4461.004,1570175999999
1570176000000,8130,8170,8080.81,8145.01,3468.236,1570190399999
1570190400000,8146.18,8179,8117.04,8140.95,3790.723,1570204799999
1570204800000,8142.63,8199.50,8121.10,8179,4624.849,1570219199999
1570219200000,8179,8208.88,8124.76,8130.56,3881.283,1570233599999
1570233600000,8130,8144.44,8089.50,8131,5235.241,1570247999999
1570248000000,8131.50,8138.63,8092.66,8104.88,4075.450,1570262399999
1570262400000,8104.88,8109.43,8066,8077.76,4602.573,1570276799999
1570276800000,8077.75,8085,8010,8077.11,6494.837,1570291199999
1570291200000,8075.30,8095.87,8028.14,8063.96,4731.815,1570305599999
1570305600000,8063.33,8175,8055.79,8122.14,5122.090,1570319999999
1570320000000,8122.01,8148.43,8009,8039.21,7650.912,1570334399999
1570334400000,8039.66,8073.19,7889.64,7958.19,7482.703,1570348799999
1570348800000,7959.39,7960,7859.03,7937.72,6068.653,1570363199999
1570363200000,7935.35,8045.51,7861,7995.98,7743.640,1570377599999
1570377600000,7995.98,8012.27,7760,7887.04,6016.122,1570391999999
1570392000000,7885.27,7919.01,7798.94,7852.79,6947.009,1570406399999
1570406400000,7851.01,7900.95,7764.42,7859.27,10448.122,1570420799999
1570420800000,7859.46,7876,7796.54,7862,5973.937,1570435199999
1570435200000,7862,8225,7862,7975.99,12954.723,1570449599999
1570449600000,7975.51,8330,7975.20,8174.58,15681.018,1570463999999
1570464000000,8173.58,8307.22,8133.52,8208.75,11153.723,1570478399999
1570478400000,8208.75,8249.89,8175,8186.88,6548.776,1570492799999
1570492800000,8188.55,8322.01,8188.04,8255.90,8019.168,1570507199999
1570507200000,8257.01,8284.78,8195,8206.24,6662.867,1570521599999
1570521600000,8206.24,8207.85,8132.27,8177.48,8823.764,1570535999999
1570536000000,8176.64,8242.52,8132,8182.46,8339.493,1570550399999
1570550400000,8183.46,8206,8157.05,8163.54,5911.833,1570564799999
1570564800000,8165.06,8206,8103.88,8167.62,6958.040,1570579199999
1570579200000,8168.33,8198,8117.98,8119.11,6526.720,1570593599999
1570593600000,8119.11,8193.17,8113,8177.40,5729.723,1570607999999
1570608000000,8173.72,8236.15,8154.34,8183.32,7343.297,1570622399999
1570622400000,8183.32,8700,8159.77,8550.09,23301.533,1570636799999
1570636800000,8549.48,8665,8490.90,8576.37,13597.472,1570651199999
1570651200000,8578.60,8609.35,8518.32,8559.77,8954.898,1570665599999
1570665600000,8559.77,8589.21,8495.70,8541.12,6800.023,1570679999999
1570680000000,8541.74,8640.89,8530.50,8611.27,5725.803,1570694399999
1570694400000,8611.75,8619.51,8465.84,8524.63,9330.958,1570708799999
1570708800000,8524.66,8553.99,8419.34,8536.08,9584.298,1570723199999
1570723200000,8536.03,8570.18,8482.48,8552.62,5926.386,1570737599999
1570737600000,8552.50,8587.24,8517.61,8556.02,6918.200,1570751999999
1570752000000,8557,8569,8475.46,8551.26,7046.685,1570766399999
1570766400000,8551.69,8788,8332.60,8385.26,28895.823,1570780799999
1570780800000,8384.60,8386.61,8280,8295.88,10169.185,1570795199999
1570795200000,8295.74,8357.30,8268.51,8341,7700.058,1570809599999
1570809600000,8341,8369.99,8277.37,8340.96,8278.607,1570823999999
1570824000000,8341.64,8350,8210,8255.58,7067.606,1570838399999
1570838400000,8255.54,8327.91,8248.34,8306.56,5899.600,1570852799999
1570852800000,8307.01,8356,8303,8336.35,5885.266,1570867199999
1570867200000,8336.33,8366.79,8289.26,8319.75,5674.466,1570881599999
