Open time,Open,High,Low,Close,Volume,Close time
1574827200000,146,146,146,146,0.010,1574841599999
1574841600000,125.03,146.92,125.03,146.58,11912.590,1574855999999
1574856000000,146.53,151.64,145.73,150.65,34852.040,1574870399999
1574870400000,150.72,155.50,148.33,153.87,35085.950,1574884799999
1574884800000,153.84,155.66,152.03,152.52,34061.250,1574899199999
1574899200000,154.29,156.52,146.41,152.03,8444.210,1574913599999
1574913600000,151.93,153.02,150.18,151.98,21326.720,1574927999999
1574928000000,152.04,152.76,149.63,151.43,21703.695,1574942399999
1574942400000,151.43,154.51,149.95,153.78,21262.030,1574956799999
1574956800000,153.78,153.95,152.46,153.50,21446.740,1574971199999
1574971200000,153.54,154,148.88,150.48,22640.675,1574985599999
1574985600000,150.56,152.67,150.55,152.15,17929.910,1574999999999
1575000000000,152.15,152.68,150.89,152.51,20243.050,1575014399999
1575014400000,152.51,155.13,152.06,153.26,24078.723,1575028799999
1575028800000,153.26,156.93,151.09,156.65,40608.114,1575043199999
1575043200000,156.70,157.40,153.92,154.09,33131.791,1575057599999
1575057600000,154.10,154.93,152.09,154.41,31914.516,1575071999999
1575072000000,154.40,155.15,153.08,153.88,46819.606,1575086399999
1575086400000,153.82,154.83,152.68,154.64,54528.966,1575100799999
1575100800000,154.65,154.80,152.54,152.68,73037.646,1575115199999
1575115200000,152.66,153.51,150.38,151.46,66422.748,1575129599999
1575129600000,151.46,152.49,149.66,150.50,69261.929,1575143999999
1575144000000,150.50,152.15,150.08,151.38,60420.720,1575158399999
1575158400000,151.38,151.38,145.70,147.09,69972.978,1575172799999
1575172800000,147.05,148.64,146.39,146.79,62459.238,1575187199999
1575187200000,146.77,148.28,145.50,147.20,68504.046,1575201599999
1575201600000,147.21,152.50,147.21,149.41,65606.928,1575215999999
1575216000000,149.49,150.55,148.98,150.06,59505.894,1575230399999
1575230400000,150.06,152,149.54,150.65,68445.035,1575244799999
1575244800000,150.72,151.30,149.64,149.85,60719.389,1575259199999
1575259200000,149.98,150.52,146.67,148.31,68891.688,1575273599999
1575273600000,148.31,150.18,147.15,148.84,62484.489,1575287999999
1575288000000,148.88,149.54,147.16,148.35,67809.249,1575302399999
1575302400000,148.36,148.79,146.83,147.49,63374.237,1575316799999
1575316800000,147.51,149.42,147.35,148.59,72351.858,1575331199999
1575331200000,148.59,149.80,148.30,149.15,85183.665,1575345599999
1575345600000,149.11,149.45,148,148.33,119436.902,1575359999999
1575360000000,148.33,148.85,145.62,146.82,87217.221,1575374399999
1575374400000,146.77,148.88,146.62,148.14,95610.027,1575388799999
1575388800000,148.11,148.50,147.51,147.66,51040.978,1575403199999
1575403200000,147.70,148,146.99,147.10,57507.780,1575417599999
1575417600000,147.12,147.16,143.03,144.57,103644.445,1575431999999
1575432000000,144.50,144.74,142.96,144.02,57520.973,1575446399999
1575446400000,144.07,146.40,143.30,145.49,94011.699,1575460799999
1575460800000,145.45,152.22,145.45,149.01,170737.794,1575475199999
1575475200000,149,149.65,148.88,149.62,59972.291,1575489599999
1575489600000,149.62,149.93,144.25,145.35,198517.615,1575503999999
1575504000000,145.36,145.97,143.77,144.91,67895.900,1575518399999
1575518400000,144.93,146.58,143.81,145.61,92662.726,1575532799999
1575532800000,145.63,146.96,145.31,146.48,67177.274,1575547199999
1575547200000,146.48,148.88,146.48,146.97,88882.381,1575561599999
1575561600000,147,147.91,146.34,147.56,71921.750,1575575999999
1575576000000,147.56,148.53,147.35,148.04,52573.881,1575590399999
1575590400000,148.08,148.28,146.82,147.23,48952.954,1575604799999
1575604800000,147.26,147.79,146.97,147.67,33243.536,1575619199999
1575619200000,147.67,147.72,145.66,146.39,62724.268,1575633599999
1575633600000,146.32,147.69,146.12,147.13,46611.347,1575647999999
1575648000000,147.13,149.50,146.84,148.04,103619.596,1575662399999
1575662400000,148.07,148.77,147.70,148.41,39493.516,1575676799999
1575676800000,148.41,148.90,148,148.32,36108.102,1575691199999
1575691200000,148.31,149.42,148.31,148.44,35016.305,1575705599999
1575705600000,148.43,148.66,146.99,147.88,42195.690,1575719999999
1575720000000,147.88,148.50,147.41,148.20,45846.474,1575734399999
1575734400000,148.18,148.31,147.32,147.81,42597.060,1575748799999
1575748800000,147.81,147.81,146.77,147.10,37421.679,1575763199999
1575763200000,147.08,147.53,146.01,146.65,42107.780,1575777599999
1575777600000,146.66,147.23,146.32,146.94,23726.182,1575791999999
1575792000000,146.96,148.69,146.79,147.99,45460.133,1575806399999
1575806400000,148,156.25,147.73,150.62,73518.946,1575820799999
1575820800000,150.62,151.50,149.85,150.37,47037.723,1575835199999
1575835200000,150.37,151.31,150.11,150.41,28760.106,1575849599999
1575849600000,150.41,150.97,149.41,150.31,37333.408,1575863999999
1575864000000,150.30,150.73,149.08,149.31,37253.315,1575878399999
1575878400000,149.30,149.69,148.59,149.12,35794.712,1575892799999
1575892800000,149.14,151.15,146.55,147.85,90869.805,1575907199999
1575907200000,147.94,148.36,146.91,147.31,53907.347,1575921599999
1575921600000,147.32,147.85,146.60,147.37,41316.862,1575935999999
1575936000000,147.36,148.39,146.14,147.20,56667.038,1575950399999
1575950400000,147.23,147.49,146.81,147.21,31671.665,1575964799999
1575964800000,147.21,147.42,146.69,147.20,38579.304,1575979199999
1575979200000,147.17,147.35,144.13,145.10,54773.549,1575993599999
1575993600000,145.13,145.75,144.30,144.87,44594.829,1576007999999
1576008000000,144.88,145.89,143.78,145.55,27566.213,1576022399999
1576022400000,145.52,146.27,145.07,145.52,23786.868,1576036799999
1576036800000,145.52,145.77,144.76,145.63,25740.564,1576051199999
1576051200000,145.65,146.12,145.28,145.55,28081.728,1576065599999
1576065600000,145.55,146.14,142.02,142.77,62707.854,1576079999999
1576080000000,142.83,142.87,142.74,142.76,158.649,1576094399999
1576094400000,142.75,143.38,142.44,143.35,22630.190,1576108799999
1576108800000,143.36,144.08,139.05,142.10,87184.512,1576123199999
1576123200000,142.04,142.64,141.53,141.94,32458.680,1576137599999
